"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"ATCODE";"ATOMS";"ATOMSE";"ATKIND";"HGROEPCODE";"RZVClaim";"SourceCode"
"0801";"0";0;"";L01AD02;LOMUSTINE;LOMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01AD03;SEMUSTINE;SEMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01AD04;STREPTOZOCINE;STREPTOZOCIN;"";L01AD;0;
"0801";"0";0;"";L01AD05;FOTEMUSTINE;FOTEMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01AD06;NIMUSTINE;NIMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01AD07;RANIMUSTINE;RANIMUSTINE;"";L01AD;0;
"0801";"0";0;"";L01AG;EPOXIDEN;EPOXIDES;"";L01A;0;
"0801";"0";0;"";L01AG01;ETOGLUCIDE;ETOGLUCID;"";L01AG;0;
"0801";"0";0;"";L01AX;OVERIGE ALKYLERENDE MIDDELEN;OTHER ALKYLATING AGENTS;"";L01A;0;
"0801";"0";0;"";L01AX01;MITOBRONITOL;MITOBRONITOL;"";L01AX;0;
"0801";"0";0;"";L01AX02;PIPOBROMAN;PIPOBROMAN;"";L01AX;0;
"0801";"0";0;"";L01AX03;TEMOZOLOMIDE;TEMOZOLOMIDE;"";L01AX;0;
"0801";"0";0;"";L01AX04;DACARBAZINE;DACARBAZINE;"";L01AX;0;
"0801";"0";0;"";L01B;ANTIMETABOLIETEN;ANTIMETABOLITES;"";L01;0;
"0801";"0";0;"";L01BA;FOLIUMZUURDERIVATEN;FOLIC ACID ANALOGUES;"";L01B;0;
"0801";"0";0;"";L01BA01;METHOTREXAAT;METHOTREXATE;"";L01BA;0;
"0801";"0";0;"";L01BA03;RALTITREXED;RALTITREXED;"";L01BA;0;
"0801";"0";0;"";L01BA04;PEMETREXED;PEMETREXED;"";L01BA;0;
"0801";"0";0;"";L01BA05;PRALATREXAAT;PRALATREXATE;"";L01BA;0;
"0801";"0";0;"";L01BB;PURINEDERIVATEN;PURINE ANALOGUES;"";L01B;0;
"0801";"0";0;"";L01BB02;MERCAPTOPURINE;MERCAPTOPURINE;"";L01BB;0;
"0801";"0";0;"";L01BB03;TIOGUANINE;TIOGUANINE;"";L01BB;0;
"0801";"0";0;"";L01BB04;CLADRIBINE;CLADRIBINE;"";L01BB;0;
"0801";"0";0;"";L01BB05;FLUDARABINE;FLUDARABINE;"";L01BB;0;
"0801";"0";0;"";L01BB06;CLOFARABINE;CLOFARABINE;"";L01BB;0;
"0801";"0";0;"";L01BB07;NELARABINE;NELARABINE;"";L01BB;0;
"0801";"0";0;"";L01BC;PYRIMIDINEDERIVATEN;PYRIMIDINE ANALOGUES;"";L01B;0;
"0801";"0";0;"";L01FD05;TRASTUZUMAB DUOCARMAZINE;TRASTUZUMAB DUOCARMAZINE;"";L01FD;0;
"0801";"0";0;"";L01BC01;CYTARABINE;CYTARABINE;"";L01BC;0;
"0801";"0";0;"";L01BC02;FLUOROURACIL;FLUOROURACIL;"";L01BC;0;
"0801";"0";0;"";L01BC03;TEGAFUR;TEGAFUR;"";L01BC;0;
"0801";"0";0;"";L01BC04;CARMOFUR;CARMOFUR;"";L01BC;0;
"0801";"0";0;"";L01BC05;GEMCITABINE;GEMCITABINE;"";L01BC;0;
"0801";"0";0;"";L01BC06;CAPECITABINE;CAPECITABINE;"";L01BC;0;
"0801";"0";0;"";L01BC07;AZACITIDINE;AZACITIDINE;"";L01BC;0;
"0801";"0";0;"";L01BC08;DECITABINE;DECITABINE;"";L01BC;0;
"0801";"0";0;"";L01BC52;FLUOROURACIL, COMBINATIEPREPARATEN;FLUOROURACIL, COMBINATIONS;"";L01BC;0;
"0801";"0";0;"";L01BC53;TEGAFUR, COMBINATIEPREPARATEN;TEGAFUR, COMBINATIONS;"";L01BC;0;
"0801";"0";0;"";L01BC59;TRIFLURIDINE, COMBINATIEPREPARATEN;TRIFLURIDINE, COMBINATIONS;"";L01BC;0;
"0801";"0";0;"";L01C;ALKALOIDEN EN OVERIGE NATUURLIJKE PRODUCTEN;PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS;"";L01;0;
"0801";"0";0;"";L01CA;VINCA-ALKALOIDEN EN DERIVATEN;VINCA ALKALOIDS AND ANALOGUES;"";L01C;0;
"0801";"0";0;"";L01CA01;VINBLASTINE;VINBLASTINE;"";L01CA;0;
"0801";"0";0;"";L01CA02;VINCRISTINE;VINCRISTINE;"";L01CA;0;
"0801";"0";0;"";L01CA03;VINDESINE;VINDESINE;"";L01CA;0;
"0801";"0";0;"";L01CA04;VINORELBINE;VINORELBINE;"";L01CA;0;
"0801";"0";0;"";L01CA05;VINFLUNINE;VINFLUNINE;"";L01CA;0;
"0801";"0";0;"";L01CA06;VINTAFOLIDE;VINTAFOLIDE;"";L01CA;0;
"0801";"0";0;"";L01CB;PODOFYLLOTOXINEDERIVATEN;PODOPHYLLOTOXIN DERIVATIVES;"";L01C;0;
"0801";"0";0;"";L01CB01;ETOPOSIDE;ETOPOSIDE;"";L01CB;0;
"0801";"0";0;"";L01CB02;TENIPOSIDE;TENIPOSIDE;"";L01CB;0;
"0801";"0";0;"";L01CC;COLCHICINEDERIVATEN;COLCHICINE DERIVATIVES;"";L01C;0;
"0801";"0";0;"";L01CC01;DEMECOLCINE;DEMECOLCINE;"";L01CC;0;
"0801";"0";0;"";L01CD;TAXANEN;TAXANES;"";L01C;0;
"0801";"0";0;"";L01CD01;PACLITAXEL;PACLITAXEL;"";L01CD;0;
"0801";"0";0;"";L01CD02;DOCETAXEL;DOCETAXEL;"";L01CD;0;
"0801";"0";0;"";L01CD03;PACLITAXEL (POLIGLUMEX);PACLITAXEL POLIGLUMEX;"";L01CD;0;
"0801";"0";0;"";L01CD04;CABAZITAXEL;CABAZITAXEL;"";L01CD;0;
"0801";"0";0;"";L01CX;OVERIGE PLANTENALKALOIDEN EN NATUURLIJKE PRODUCTEN;OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS;"";L01C;0;
"0801";"0";0;"";L01CX01;TRABECTEDINE;TRABECTEDIN;"";L01CX;0;
"0801";"0";0;"";L01D;CYTOTOXISCHE ANTIBIOTICA  EN VERWANTE VERBINDINGEN;CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES;"";L01;0;
"0801";"0";0;"";L01DA;ACTINOMYCINEN;ACTINOMYCINES;"";L01D;0;
"0801";"0";0;"";L01DA01;DACTINOMYCINE;DACTINOMYCIN;"";L01DA;0;
"0801";"0";0;"";L01DB;ANTHRACYCLINEN EN VERWANTE VERBINDINGEN;ANTHRACYCLINES AND RELATED SUBSTANCES;"";L01D;0;
"0801";"0";0;"";L01DB01;DOXORUBICINE;DOXORUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB02;DAUNORUBICINE;DAUNORUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB03;EPIRUBICINE;EPIRUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB04;ACLARUBICINE;ACLARUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB05;ZORUBICINE;ZORUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB06;IDARUBICINE;IDARUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB07;MITOXANTRON;MITOXANTRONE;"";L01DB;0;
"0801";"0";0;"";L01DB08;PIRARUBICINE;PIRARUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB09;VALRUBICINE;VALRUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB10;AMRUBICINE;AMRUBICIN;"";L01DB;0;
"0801";"0";0;"";L01DB11;PIXANTRON;PIXANTRONE;"";L01DB;0;
"0801";"0";0;"";L01DC;OVERIGE CYTOTOXISCHE ANTIBIOTICA;OTHER CYTOTOXIC ANTIBIOTICS;"";L01D;0;
"0801";"0";0;"";L01DC01;BLEOMYCINE;BLEOMYCIN;"";L01DC;0;
"0801";"0";0;"";L01DC02;PLICAMYCINE;PLICAMYCIN;"";L01DC;0;
"0801";"0";0;"";L01DC03;MITOMYCINE;MITOMYCIN;"";L01DC;0;
"0801";"0";0;"";L01DC04;IXABEPILON;IXABEPILONE;"";L01DC;0;
"0801";"0";0;"";L01X;OVERIGE ONCOLYTICA;OTHER ANTINEOPLASTIC AGENTS;"";L01;0;
"0801";"0";0;"";L01XA;PLATINAVERBINDINGEN;PLATINUM COMPOUNDS;"";L01X;0;
"0801";"0";0;"";L01XA01;CISPLATINE;CISPLATIN;"";L01XA;0;
"0801";"0";0;"";L01XA02;CARBOPLATINE;CARBOPLATIN;"";L01XA;0;
"0801";"0";0;"";L01XA03;OXALIPLATINE;OXALIPLATIN;"";L01XA;0;
"0801";"0";0;"";L01XA04;SATRAPLATINE;SATRAPLATIN;"";L01XA;0;
"0801";"0";0;"";L01XA05;POLYPLATILLEN;POLYPLATILLEN;"";L01XA;0;
"0801";"0";0;"";L01XB;METHYLHYDRAZINEN;METHYLHYDRAZINES;"";L01X;0;
"0801";"0";0;"";L01XB01;PROCARBAZINE;PROCARBAZINE;"";L01XB;0;
"0801";"1";1;"";L01XC;MONOKLONALE ANTILICHAMEN;MONOCLONAL ANTIBODIES;"";L01X;0;
"0801";"1";1;"";L01XC01;EDRECOLOMAB;EDRECOLOMAB;"";L01XC;0;
"0801";"1";1;"";L01XC02;RITUXIMAB;RITUXIMAB;"";L01XC;0;
"0801";"1";1;"";L01XC03;TRASTUZUMAB;TRASTUZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC04;ALEMTUZUMAB;ALEMTUZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC05;GEMTUZUMAB OZOGAMICINE;GEMTUZUMAB OZOGAMICIN;"";L01XC;0;
"0801";"1";1;"";L01XC06;CETUXIMAB;CETUXIMAB;"";L01XC;0;
"0801";"1";1;"";L01XC07;BEVACIZUMAB;BEVACIZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC08;PANITUMUMAB;PANITUMUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC09;CATUMAXOMAB;CATUMAXOMAB;"";L01XC;0;
"0801";"1";1;"";L01XC10;OFATUMUMAB;OFATUMUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC11;IPILIMUMAB;IPILIMUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC12;BRENTUXIMABVEDOTINE;BRENTUXIMAB VEDOTIN;"";L01XC;0;
"0801";"1";1;"";L01XC13;PERTUZUMAB;PERTUZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC14;TRASTUZUMAB EMTANSINE;TRASTUZUMAB EMTANSINE;"";L01XC;0;
"0801";"1";1;"";L01XC15;OBINUTUZUMAB;OBINUTUZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC16;DINUTUXIMAB BETA;DINUTUXIMAB BETA;"";L01XC;0;
"0801";"1";1;"";L01XC17;NIVOLUMAB;NIVOLUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC18;PEMBROLIZUMAB;PEMBROLIZUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC19;BLINATUMOMAB;BLINATUMOMAB;"";L01XC;0;
"0801";"1";1;"";L01XC21;RAMUCIRUMAB;RAMUCIRUMAB;"";L01XC;0;
"0801";"1";1;"";L01XC22;NECITUMUMAB;NECITUMUMAB;"";L01XC;0;
"0801";"3";0;"";L01XC99;TEST IMPORT ATC;TEST IMPORT ATC;"";L01XC;0;
"0801";"0";0;"";L01XD;SENSITIZERS BIJ FOTODYNAMISCHE EN RADIOTHERAPIE;SENSITIZERS USED IN PHOTODYNAMIC/RADIATION THERAPY;"";L01X;0;
"0801";"0";0;"";L01XD01;PORFIMEER;PORFIMER SODIUM;"";L01XD;0;
"0801";"0";0;"";L01XD03;METHYLAMINOLEVULINAAT;METHYL AMINOLEVULINATE;"";L01XD;0;
"0801";"0";0;"";L01XD04;AMINOLEVULINEZUUR;AMINOLEVULINIC ACID;"";L01XD;0;
"0801";"0";0;"";L01XD05;TEMOPORFINE;TEMOPORFIN;"";L01XD;0;
"0801";"0";0;"";L01XD06;EFAPROXIRAL;EFAPROXIRAL;"";L01XD;0;
"0801";"1";1;"";L01XE;PROTEINEKINASEREMMERS;PROTEIN KINASE INHIBITORS;"";L01X;0;
"0801";"1";1;"";L01XE01;IMATINIB;IMATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE02;GEFITINIB;GEFITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE03;ERLOTINIB;ERLOTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE04;SUNITINIB;SUNITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE05;SORAFENIB;SORAFENIB;"";L01XE;0;
"0801";"1";1;"";L01XE06;DASATINIB;DASATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE07;LAPATINIB;LAPATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE08;NILOTINIB;NILOTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE09;TEMSIROLIMUS;TEMSIROLIMUS;"";L01XE;0;
"0801";"1";1;"";L01XE10;EVEROLIMUS;EVEROLIMUS;"";L01XE;0;
"0801";"1";1;"";L01XE11;PAZOPANIB;PAZOPANIB;"";L01XE;0;
"0801";"1";1;"";L01XE12;VANDETANIB;VANDETANIB;"";L01XE;0;
"0801";"1";1;"";L01XE13;AFATINIB;AFATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE14;BOSUTINIB;BOSUTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE15;VEMURAFENIB;VEMURAFENIB;"";L01XE;0;
"0801";"1";1;"";L01XE16;CRIZOTINIB;CRIZOTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE17;AXITINIB;AXITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE18;RUXOLITINIB;RUXOLITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE19;RIDAFOROLIMUS;RIDAFOROLIMUS;"";L01XE;0;
"0801";"1";1;"";L01XE21;REGORAFENIB;REGORAFENIB;"";L01XE;0;
"0801";"1";1;"";L01XE22;MASITINIB;MASITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE23;DABRAFENIB;DABRAFENIB;"";L01XE;0;
"0801";"1";1;"";L01XE24;PONATINIB;PONATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE25;TRAMETINIB;TRAMETINIB;"";L01XE;0;
"0801";"1";1;"";L01XE26;CABOZANTINIB;CABOZANTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE27;IBRUTINIB;IBRUTINIB;"";L01XE;0;
"0801";"1";1;"";L01XE28;CERITINIB;CERITINIB;"";L01XE;0;
"0801";"1";1;"";L01XE29;LENVATINIB;LENVATINIB;"";L01XE;0;
"0801";"1";1;"";L01XE31;NINTEDANIB;NINTENANIB;"";L01XE;0;
"0801";"1";1;"";L01XE32;CEDIRANIB;CEDIRANIB;"";L01XE;0;
"0801";"1";1;"";L01XE33;PALBOCICLIB;PALBOCICLIB;"";L01XE;0;
"0801";"1";1;"";L01XE34;TIVOZANIB;TIVOZANIB;"";L01XE;0;
"0801";"0";0;"";L01XX;OVERIGE ONCOLYTICA;OTHER ANTINEOPLASTIC AGENTS;"";L01X;0;
"0801";"0";0;"";N02AJ16;TRAMADOL MET CELECOXIB;TRAMADOL AND CELECOXIB;"";N02AJ;0;
"0801";"0";0;"";N02AX07;OLICERIDINE;OLICERIDINE;"";N02AX;0;
"0801";"0";0;"";N02AX51;TILIDINE MET NALOXON;TILIDINE AND NALOXONE;"";N02AX;0;
"0801";"0";0;"";L01XX01;AMSACRINE;AMSACRINE;"";L01XX;0;
"0801";"0";0;"";L01XX02;ASPARAGINASE;ASPARAGINASE;"";L01XX;0;
"0801";"0";0;"";L01XX03;ALTRETAMINE;ALTRETAMINE;"";L01XX;0;
"0801";"0";0;"";L01XX05;HYDROXYCARBAMIDE;HYDROXYCARBAMIDE;"";L01XX;0;
"0801";"0";0;"";L01XX07;LONIDAMINE;LONIDAMINE;"";L01XX;0;
"0801";"0";0;"";L01XX08;PENTOSTATINE;PENTOSTATIN;"";L01XX;0;
"0801";"1";1;"";L01XX09;MILTEFOSINE;MILTEFOSINE;"";L01XX;0;
"0801";"0";0;"";L01XX10;MASOPROCOL;MASOPROCOL;"";L01XX;0;
"0801";"0";0;"";L01XX11;ESTRAMUSTINE;ESTRAMUSTINE;"";L01XX;0;
"0801";"1";1;"";L01XX14;TRETINOINE;TRETINOIN;"";L01XX;0;
"0801";"0";0;"";L01XX16;MITOGUAZON;MITOGUAZONE;"";L01XX;0;
"0801";"1";1;"";L01XX17;TOPOTECAN;TOPOTECAN;"";L01XX;0;
"0801";"0";0;"";L01XX18;TIAZOFURINE;TIAZOFURINE;"";L01XX;0;
"0801";"1";1;"";L01XX19;IRINOTECAN;IRINOTECAN;"";L01XX;0;
"0801";"1";1;"";L01XX22;ALITRETINOINE;ALITRETINOIN;"";L01XX;0;
"0801";"0";0;"";L01XX23;MITOTAAN;MITOTANE;"";L01XX;0;
"0801";"0";0;"";L01XX24;PEGASPARGASE;PEGASPARGASE;"";L01XX;0;
"0801";"1";1;"";L01XX25;BEXAROTEEN;BEXAROTENE;"";L01XX;0;
"0801";"0";0;"";L01XX27;ARSEENTRIOXIDE;ARSENIC TRIOXIDE;"";L01XX;0;
"0801";"0";0;"";L01XX29;DENILEUKINEDIFTITOX;DENILEUKIN DIFTITOX;"";L01XX;0;
"0801";"1";1;"";L01XX32;BORTEZOMIB;BORTEZOMIB;"";L01XX;0;
"0801";"0";0;"";L01XX33;CELECOXIB;CELECOXIB;"";L01XX;0;
"0801";"0";0;"";L01XX35;ANAGRELIDE;ANAGRELIDE;"";L01XX;0;
"0801";"0";0;"";L01XX36;OBLIMERSEN;OBLIMERSEN;"";L01XX;0;
"0801";"1";1;"";L01XX37;SITIMAGENCERADENOVEC;SITIMAGENE CERADENOVEC;"";L01XX;0;
"0801";"1";1;"";L01XX38;VORINOSTAT;VORINOSTAT;"";L01XX;0;
"0801";"1";1;"";L01XX39;ROMIDEPSINE;ROMIDEPSIN;"";L01XX;0;
"0801";"0";0;"";L01XX40;OMACETAXINE MEPESUCCINAAT;OMACETAXINE MEPESUCCINATE;"";L01XX;0;
"0801";"0";0;"";L01XX41;ERIBULINE;ERIBULIN;"";L01XX;0;
"0801";"1";1;"";L01XX42;PANOBINOSTAT;PANOBINOSTAT;"";L01XX;0;
"0801";"1";1;"";L01XX43;VISMODEGIB;VISMODEGIB;"";L01XX;0;
"0801";"0";0;"";L01XX44;AFLIBERCEPT;AFLIBERCEPT;"";L01XX;0;
"0801";"1";1;"";L01XX45;CARFILZOMIB;CARFILZOMIB;"";L01XX;0;
"0801";"1";1;"";L01XX46;OLAPARIB;OLAPARIB;"";L01XX;0;
"0801";"1";1;"";L01XX47;IDELALISIB;IDELALISIB;"";L01XX;0;
"0801";"1";1;"";L01XX48;SONIDEGIB;SONIDEGIB;"";L01XX;0;
"0801";"1";1;"";L01XX49;BELINOSTAT;BELINOSTAT;"";L01XX;0;
"0801";"1";1;"";L01XX50;IXAZOMIB;IXAZOMIB;"";L01XX;0;
"0801";"0";0;"";L01XY;COMBINATIES VAN ONCOLYTICA;COMBINATIONS OF ANTINEOPLASTIC AGENTS;"";L01X;0;
"0801";"0";0;"";L02;HORMONEN;ENDOCRINE THERAPY;"";L;0;
"0801";"0";0;"";L02A;HORMONEN;HORMONES AND RELATED AGENTS;"";L02;0;
"0801";"0";0;"";L02AA;OESTROGENEN;ESTROGENS;"";L02A;0;
"0801";"0";0;"";L02AA01;DIETHYLSTILBESTROL;DIETHYLSTILBESTROL;"";L02AA;0;
"0801";"0";0;"";L02AA02;POLYESTRADIOL;POLYESTRADIOL PHOSPHATE;"";L02AA;0;
"0801";"0";0;"";L02AA03;ETHINYLESTRADIOL;ETHINYLESTRADIOL;"";L02AA;0;
"0801";"0";0;"";L02AA04;FOSFESTROL;FOSFESTROL;"";L02AA;0;
"0801";"0";0;"";L02AB;PROGESTAGENEN;PROGESTOGENS;"";L02A;0;
"0801";"0";0;"";L02AB01;MEGESTROL;MEGESTROL;"";L02AB;0;
"0801";"0";0;"";L02AB02;MEDROXYPROGESTERON;MEDROXYPROGESTERONE;"";L02AB;0;
"0801";"0";0;"";L02AB03;GESTONORON;GESTONORONE;"";L02AB;0;
"0801";"0";0;"";L02AE;GONADORELINE-ANALOGEN;GONADOTROPIN RELEASING HORMONE ANALOGUES;"";L02A;0;
"0801";"0";0;"";L02AE01;BUSERELINE;BUSERELIN;"";L02AE;0;
"0801";"0";0;"";L02AE02;LEUPRORELINE;LEUPRORELIN;"";L02AE;0;
"0801";"0";0;"";L02AE03;GOSERELINE;GOSERELIN;"";L02AE;0;
"0801";"0";0;"";L02AE04;TRIPTORELINE;TRIPTORELIN;"";L02AE;0;
"0801";"0";0;"";L02AE05;HISTRELINE;HISTRELIN;"";L02AE;0;
"0801";"0";0;"";L02AX;OVERIGE HORMONEN;OTHER HORMONES;"";L02A;0;
"0801";"0";0;"";L02B;ANTIHORMONEN;HORMONE ANTAGONISTS AND RELATED AGENTS;"";L02;0;
"0801";"0";0;"";L02BA;ANTI-OESTROGENEN;ANTI-ESTROGENS;"";L02B;0;
"0801";"0";0;"";L02BA01;TAMOXIFEN;TAMOXIFEN;"";L02BA;0;
"0801";"0";0;"";L02BA02;TOREMIFEEN;TOREMIFENE;"";L02BA;0;
"0801";"0";0;"";L02BA03;FULVESTRANT;FULVESTRANT;"";L02BA;0;
"0801";"0";0;"";L02BB;ANTI-ANDROGENEN;ANTI-ANDROGENS;"";L02B;0;
"0801";"0";0;"";L02BB01;FLUTAMIDE;FLUTAMIDE;"";L02BB;0;
"0801";"0";0;"";L02BB02;NILUTAMIDE;NILUTAMIDE;"";L02BB;0;
"0801";"0";0;"";L02BB03;BICALUTAMIDE;BICALUTAMIDE;"";L02BB;0;
"0801";"0";0;"";L02BB04;ENZALUTAMIDE;ENZALUTAMIDE;"";L02BB;0;
"0801";"0";0;"";L02BG;AROMATASEREMMERS;AROMATASE INHIBITORS;"";L02B;0;
"0801";"0";0;"";L02BG01;AMINOGLUTETHIMIDE;AMINOGLUTETHIMIDE;"";L02BG;0;
"0801";"0";0;"";L02BG02;FORMESTAAN;FORMESTANE;"";L02BG;0;
"0801";"0";0;"";L02BG03;ANASTROZOL;ANASTROZOLE;"";L02BG;0;
"0801";"0";0;"";L02BG04;LETROZOL;LETROZOLE;"";L02BG;0;
"0801";"0";0;"";L02BG05;VOROZOL;VOROZOLE;"";L02BG;0;
"0801";"0";0;"";L02BG06;EXEMESTAAN;EXEMESTANE;"";L02BG;0;
"0801";"0";0;"";L02BX;OVERIGE HORMOONANTAGONISTEN EN VERWANTE VERBINDINGEN;OTHER HORMONE ANTAGONISTS AND RELATED AGENTS;"";L02B;0;
"0801";"0";0;"";L02BX01;ABARELIX;ABARELIX;"";L02BX;0;
"0801";"0";0;"";L02BX02;DEGARELIX;DEGARELIX;"";L02BX;0;
"0801";"0";0;"";L02BX03;ABIRATERON;ABIRATERONE;"";L02BX;0;
"0801";"0";0;"";L03;IMMUNOSTIMULANTIA;IMMUNOSTIMULANTS;"";L;0;
"0801";"0";0;"";L03A;IMMUNOSTIMULANTIA;IMMUNOSTIMULANTS;"";L03;0;
"0801";"0";0;"";L03AA;KOLONIESTIMULERENDE FACTOREN;COLONY STIMULATING FACTORS;"";L03A;0;
"0801";"0";0;"";L03AA02;FILGRASTIM;FILGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AA03;MOLGRAMOSTIM;MOLGRAMOSTIM;"";L03AA;0;
"0801";"0";0;"";L03AA09;SARGRAMOSTIM;SARGRAMOSTIM;"";L03AA;0;
"0801";"0";0;"";L03AA10;LENOGRASTIM;LENOGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AA12;ANCESTIM;ANCESTIM;"";L03AA;0;
"0801";"0";0;"";L03AA13;PEGFILGRASTIM;PEGFILGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AA14;LIPEGFILGRASTIM;LIPEGFILGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AA15;BALUGRASTIM;BALUGRASTIM;"";L03AA;0;
"0801";"0";0;"";L03AB;INTERFERONEN;INTERFERONS;"";L03A;0;
"0801";"0";0;"";L03AB01;INTERFERON ALFA, NATUURLIJK;INTERFERON ALFA NATURAL;"";L03AB;0;
"0801";"0";0;"";L03AB02;INTERFERON BETA, NATUURLIJK;INTERFERON BETA NATURAL;"";L03AB;0;
"0801";"0";0;"";L03AB03;INTERFERON GAMMA;INTERFERON GAMMA;"";L03AB;0;
"0801";"0";0;"";L03AB04;INTERFERON ALFA 2A;INTERFERON ALFA-2A;"";L03AB;0;
"0801";"0";0;"";L03AB05;INTERFERON ALFA 2B;INTERFERON ALFA-2B;"";L03AB;0;
"0801";"0";0;"";L03AB06;INTERFERON ALFA N1;INTERFERON ALFA-N1;"";L03AB;0;
"0801";"0";0;"";L03AB07;INTERFERON BETA 1A;INTERFERON BETA-1A;"";L03AB;0;
"0801";"0";0;"";L03AB08;INTERFERON BETA 1B;INTERFERON BETA-1B;"";L03AB;0;
"0801";"0";0;"";L03AB09;INTERFERON ALFACON 1;INTERFERON ALFACON-1;"";L03AB;0;
"0801";"0";0;"";L03AB10;PEGINTERFERON ALFA 2B;PEGINTERFERON ALFA-2B;"";L03AB;0;
"0801";"0";0;"";L03AB11;PEGINTERFERON ALFA 2A;PEGINTERFERON ALFA-2A;"";L03AB;0;
"0801";"0";0;"";L03AB12;ALBINTERFERON ALFA-2B;ALBINTERFERON ALFA-2B;"";L03AB;0;
"0801";"0";0;"";L03AB13;PEGINTERFERON BETA-1A;PEGINTERFERON BETA-1A;"";L03AB;0;
"0801";"0";0;"";L03AB14;CEPEGINTERFERON ALFA-2B;CEPEGINTERFERON ALFA-2B;"";L03AB;0;
"0801";"0";0;"";L03AB60;PEGINTERFERON ALFA 2B, COMBINATIEPREPARATEN;PEGINTERFERON ALFA-2B, COMBINATIONS;"";L03AB;0;
"0801";"0";0;"";L03AB61;PEGINTERFERON ALFA 2A, COMBINATIEPREPARATEN;PEGINTERFERON ALFA-2A, COMBINATIONS;"";L03AB;0;
"0801";"0";0;"";L03AC;INTERLEUKINEN;INTERLEUKINS;"";L03A;0;
"0801";"0";0;"";L03AC01;ALDESLEUKINE;ALDESLEUKIN;"";L03AC;0;
"0801";"0";0;"";L03AC02;OPRELVEKINE;OPRELVEKIN;"";L03AC;0;
"0801";"0";0;"";L03AX;OVERIGE IMMUNOSTIMULANTIA;OTHER IMMUNOSTIMULANTS;"";L03A;0;
"0801";"0";0;"";L03AX01;LENTINAN;LENTINAN;"";L03AX;0;
"0801";"0";0;"";L03AX02;ROQUINIMEX;ROQUINIMEX;"";L03AX;0;
"0801";"0";0;"";L03AX03;BCG-VACCIN;BCG VACCINE;"";L03AX;0;
"0801";"0";0;"";L03AX04;PEGADEMASE;PEGADEMASE;"";L03AX;0;
"0801";"0";0;"";L03AX05;PIDOTIMOD;PIDOTIMOD;"";L03AX;0;
"0801";"0";0;"";L03AX07;POLY IC;POLY I:C;"";L03AX;0;
"0801";"0";0;"";L03AX08;POLY ICLC;POLY ICLC;"";L03AX;0;
"0801";"0";0;"";L03AX09;THYMOPENTINE;THYMOPENTIN;"";L03AX;0;
"0801";"0";0;"";L03AX10;IMMUNOCYANINE;IMMUNOCYANIN;"";L03AX;0;
"0801";"0";0;"";L03AX11;TASONERMINE;TASONERMIN;"";L03AX;0;
"0801";"0";0;"";L03AX12;MELANOOMVACCIN;MELANOMA VACCINE;"";L03AX;0;
"0801";"0";0;"";L03AX13;GLATIRAMEER;GLATIRAMER ACETATE;"";L03AX;0;
