Excipient;Excipient (English);Chemical class;Functional category;Administration route;If po: bioavailability;Conclusion Ketoproof;Reviewer;Review date
GAMMADEX;GAMMA CYCLODEXTRIN;Cyclic oligosaccharide;"Solubilizing agent; stabilizing agent.";;;No;Manon den Uil;19/03/2024
GLYCERYLBEHENAAT;GLYCERYL BEHENATE;Fatty acid (ester with glycerin);"Coating agent; tablet binder; tablet and capsule lubricant; thickening agent; viscosity-increasing agent.";;;No;Manon den Uil;19/03/2024
GLYCERYLDISTEARAAT;GLYCERYL DISTEARATE;Fatty acid (ester with glycerin);"Emollient; thickening agent; emulsifying agent";;;No;Manon den Uil;19/03/2024
GLYCERYLMONO-OLEAAT;GLYCERYL MONOOLEATE;Fatty acid (ester with glycerin);"Bioadhesive material; emollient; emulsifying agent; emulsion stabilizer; gelling agent; mucoadhesive; nonionic surfactant; sustained-release agent.";;;No;Manon den Uil;19/03/2024
GLYCERYLMONOSTEARAAT;GLYCERYL MONOSTEARATE;Fatty acid (ester with glycerin);"Emollient; emulsifying agent; solubilizing agent; stabilizing agent;sustained-release agent; tablet and capsule lubricant";;;No;Manon den Uil;19/03/2024
GLYCERYLPALMITOSTEARAAT;GLYCERYL PALMITOSTEARATE;Fatty acid (ester with glycerin);"Biodegradable material; coating agent; gelling agent; releasemodifying agent; sustained-release agent; tablet and capsule diluent;tablet and capsule lubricant; taste-masking agent";;;No;Manon den Uil;19/03/2024
GLYCYRRHIZINAAT AMMONIUM;GLYCYRRHIZINATE AMMONIUM;Oleanolic acid;Flavouring agent ;Oraal, rectaal;;No;Manon den Uil;19/03/2024
GOLDEN-SYRUPESSENCE;GOLDEN-SYRUP ESSENCE;Unknown or Variable compositions;Flavouring agent ;Oraal;;No;Manon den Uil;19/03/2024
GOM, ARABISCH;ACACIA;Fibre ;"Emulsifying agent; stabilizing agent; suspending agent; tablet binder; viscosity-increasing agent";;;Yes;Manon den Uil;19/03/2024
GRAPEFRUITESSENCE;GRAPEFRUIT ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;19/03/2024
GUARANA-ESSENCE;GUARANA ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;19/03/2024
GUARGOM;Guar Gum;Suiker;;;;No;Laura N;30/11/2023
HYPROLOSE;Hydroxypropyl Cellulose;Ether van cellulose;Coating agent;;;Yes;Manon den Uil;19/03/2024
HYPROMELLOSEFTALAAT;HYPROMELLOSE PHTHALATE;Ether van cellulose;Coating agent ;;;Yes;Manon den Uil;19/03/2024
INDIGOKARMIJN;Indigo carmine;Indigoid dye;Colouring agent ;;;Yes;Manon den Uil;20/03/2024
INKT;INK;Unknown ;Colouring agent ;;;Yes;Manon den Uil;20/03/2024
ISOMALT;ISOMALT;Suikeralcohol;;;;No;Laura N;30/11/2023
KALIUMWATERSTOFCARBONAAT;POTASSIUM HYDROGEN CARBONATE;Salt, inorganic acid;Buffer;;;Yes;Manon den Uil/Laura N;27/12/2024
KARMIJN;CARMINE;Anthraquinone dye;Colouring agent ;;;Yes;Manon den Uil ;20/03/2024
KATOENZAADOLIE, GEHYDROGENEERD;COTTONSEED OIL, HYDROGENATED;Fat;"Oleaginous vehicle; solvent.";;;Yes;Manon den Uil ;20/03/2024
KERSENESSENCE;CHERRY GUM ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil;19/03/2024
LECITHINE;LECITHIN;Unknown or Variable compositions;"Emollient; emulsifying agent; solubilizing agent.";;;Yes;Manon den Uil ;20/03/2024
LIMOENESSENCE;LIME ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;19/03/2024
MACROGOL  1540;MACROGOL 1540;Polymer (polyethylene glycol polymer);Laxative or emolient;Oraal ;<2%;Yes;Manon den Uil ;20/03/2024
MACROGOL  6000;MACROGOL 6000;Polymer (polyethylene glycol polymer);Laxative or emolient;Oraal, cutaan, vaginaal, rectaal, oromucosaal;-;Yes;Manon den Uil ;20/03/2024
MACROGOLGLYCEROLHYDROXYSTEARAAT;MACROGOL-GLYCEROL HYDROXYSTEARATE;Polyoxyethylene castor oil derivative ;"Emulsifying agent; solubilizing agent; wetting agent.";Oraal, oromucosaal, nasaal, oculair, cutaan, dentaal;;Yes;Manon den Uil ;02/04/2024
MACROGOLPOLYVINYLALCOHOLCOPOLYMEER;MACROGOL POLYVINYL ALCOHOL COPOLYMER;Polymer;Binding agent;Oraal;;Yes;Manon den Uil ;03/04/2024
MACROGOLSTEARAAT  400;MACROGOL STEARATE 400;Polyethylene glycol stearate;"Emulsifying agent; solubilizing agent; wetting agent.";Oraal;;Yes;Manon den Uil ;20/03/2024
MACROGOLSTEARAAT 2000;MACROGOLSTEARATE 2000;Polyethylene glycol stearate;"Emulsifying agent; solubilizing agent; wetting agent.";;;Yes;Manon den Uil ;20/03/2024
MAGNESIUMCARBONAAT;MAGNESIUM CARBONATE;Salt, inorganic acid;"Adsorbent; antacid; tablet and capsule diluent";;;Yes;Manon den Uil/Laura N;27/12/2024
MAGNESIUMOXIDE, ZWAAR;MAGNESIUM OXIDE, HEAVY;Salt;"Anticaking agent; emulsifying agent; glidant; tablet and capsule diluent";;;Yes;Manon den Uil ;25/03/2024
MAISOLIEGLYCERIDEN;CORN OIL GLYCERIDES;Glyceriden;"Oleaginous vehicle; solvent.";Oraal, cutaan;;No;Manon den Uil ;25/03/2024
MAISZETMEEL, GEMODIFICEERD;CORN STARCH, MODIFIED;Starch;;;;No;Laura N;30/11/2023
MAISZETMEEL, VOORVERSTIJFSELD;CORN STARCH, PRE-GELATINIZED;Starch;;;;No;Laura N;30/11/2023
MALTITOL;MALTITOL;Sugar alcohol;;;;No;Laura N;30/11/2023
MALTODEXTRINE;MALTODEXTRIN;;;;;No;Laura N;30/11/2023
MALTOL;MALTOL;Pyron;"Flavor enhancer; flavoring agent.";;;No;Manon den Uil ;25/03/2024
MANDARIJNESSENCE;MANDARIN ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;20/03/2024
MANGO-ESSENCE;MANGO ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;20/03/2024
MELKESSENCE;MILK Essence;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;20/03/2024
MENTHOLESSENCE;MENTHOL ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil;20/03/2024
METHYLCELLULOSE (VISCOSITEIT ONBEKEND);METHYL CELLULOSE (VISCOSITY UNKNOWN);;;;;Yes;Laura N;30/11/2023
METHYLPARAHYDROXYBENZOAAT NATRIUM;METHYL PARABEN SODIUM;Ester of 4-hydroxybenzoic acid with methanol;Antimicrobial preservative;Oraal, rectaal;;No;Manon den Uil ;25/03/2024
MICROWAS;MICRO wax;Long chain hydrocarbons;"Coating agent; controlled-release agent; stiffening agent.";Cutaan, rectaal;;Yes;Manon den Uil ;25/03/2024
MONO- EN DIGLYCERIDEN VAN VETZUREN;MONO- AND DIGLYCERIDES OF FATTY ACIDS;Mono- en diglyceriden;Thickener, stabiliser, emulsifier;Oraal, cutaan ;;No;Manon den Uil ;25/03/2024
MONOGLYCERIDEN, GEDIACETYLEERD;MONOGLYCERIDES, DIACETYLATED;Acetic acid esters of monoglycerides of fatty acids;Thickener, stabiliser, emulsifier;Oraal;;No;Manon den Uil ;25/03/2024
MYVACET 9/08;MYVACET 9/08;Ester van azijnzuur en gedestilleerde mono- en diglyceriden.;Solvent;Oraal;;No;Manon den Uil ;25/03/2024
MYVACET 9/45;MYVACET 9/45;Ester van azijnzuur en gedestilleerde mono- en diglyceriden.;Solvent;Oraal;;No;Manon den Uil ;25/03/2024
NATRIUMDIWATERSTOFCITRAAT;SODIUM DIHYDROGEN CITRATE;Salt, organic acid;"Alkalizing agent; buffering agent; emulsifying agent; sequestering agent";;;No;Manon den Uil ;25/03/2024
NATRIUMGLYCINECARBONAAT;SODIUM GLYCINE CARBONATE;Salt, inorganic acid;;;;Yes;Manon den Uil/Laura N;27/12/2024
NATRIUMSTEARYLFUMARAAT;SODIUM STEARYL FUMARATE;Fatty acid ester with organic acid;Tablet and capsule lubricant. ;Oraal, sublinguaal;80%;No;Manon den Uil ;25/03/2024
NORFLURAAN;NORFLURAN;Chlorofluorocarbons;Drijfgas;Inhalatie;;Yes;Manon den Uil ;25/03/2024
OLIE, NIET GESPECIFICEERD;OIL, NOT SPECIFIED;Fat;;;;Yes;Manon den Uil ;25/03/2024
OLIE, NIET GESPECIFICEERD, GEHYDROGENEERD;OIL, NOT SPECIFIED, HYDROGENATED;Fat;;;;Yes;Manon den Uil ;25/03/2024
PARAFFINE, DUNVLOEIBAAR;KEROSENE, THIN LIQUID;Alkaan;Ointment base, stiffening agent, coating agent;;;Yes;Manon den Uil ;25/03/2024
PARAFFINE, VAST;KEROSENE, SOLID;Alkaan;Ointment base, stiffening agent, coating agent;;;Yes;Manon den Uil ;25/03/2024
PASSIEVRUCHTESSENCE;PASSION FRUIT ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;20/03/2024
PATENTBLAUW V;PATENT BLUE V;Dye;Colouring agent ;;;Yes;Manon den Uil ;25/03/2024
PEPERMUNT OLIE;PEPPERMINT OIL;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;25/03/2024
PERZIKESSENCE;PEACH ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;20/03/2024
POLACRILINE;POLACRILINE;Polymer of methacrylic acid (organic acid) met divynylbenzene;Tablet and capsule disintegrant;Oraal, transdermaal, oculair;;Yes;Manon den Uil ;25/03/2024
POLACRILINE KALIUM;POLACRILINE POTASSIUM;Polymer of methacrylic acid (organic acid) met divynylbenzene;Tablet and capsule disintegrant;Oraal;;Yes;Manon den Uil ;25/03/2024
POLYETHYLEEN;POLYETHYLENE;Polymer ;Bulking agent, emulstion stabilizer;Cutaan, intra-uterien, transdermaal, rectaal;;Yes;Manon den Uil ;26/03/2024
POLYGLUCOSE;POLYDEXTROSE;Polymer of glucose (90 parts), sorbitol (10 parts), citric acid (1 part) or phosphoric acid (0.1 part);"Coating agent; diluent; granulation aid; humectant; tablet and capsule diluent; tablet binder; tablet filler; viscosity-increasing agent";Oraal;;No;Manon den Uil ;26/03/2024
POLYOXYETHYLEENVETZUURESTER (ARLATONE 983);POLYOXYETHYLENE FATTY ACID ESTER (ARLATONE 983);Unknown or Variable compositions;Emulsifier ;Cutaan, oraal;;Yes;Manon den Uil ;26/03/2024
POLYSORBAAT 60;POLYSORBATE 60;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Manon den Uil ;26/03/2024
POLYSORBAAT 65;POLYSORBATE 65;Polyoxyethylene sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;Yes;Manon den Uil ;26/03/2024
POLYVINYLALCOHOL;POLYVINYL ALCOHOL;Polymer of ethanol;"Coating agent; lubricant; stabilizing agent; viscosity-increasing agent.";Oculair, transdermaal, oromucosaal, oraal, cutaan, intravitreaal;;Yes;Manon den Uil ;26/03/2024
PROPYLPARAHYDROXYBENZOAAT NATRIUM;PROPYL PARAHYDROXYBENZOATE SODIUM;Ester of 4-hydroxybenzoic acid with propanol;Antimicrobial preservative;;;No;Manon den Uil ;26/03/2024
RIBOFLAVINE NATRIUMFOSFAAT-0-WATER;RIBOFLAVIN SODIUM PHOSPHATE-0-WATER;Vitamin and derivatives;Colouring agent ;;;Yes;Manon den Uil ;26/03/2024
RIJSTZETMEEL;RICE STARCH;Starch;;;;No;Laura N;30/11/2023
SACCHARINE NATRIUM-0-WATER;SACCHARIN SODIUM-0-WATER;;;;;Yes;Laura N;30/11/2023
SACCHARINE NATRIUM-2-WATER;SACCHARIN SODIUM-2-WATER;;;;;Yes;Laura N;30/11/2023
SCHELLAK;SHELLAC;Unknown or Variable compositions;"Coating agent; encapsulating agent; film-forming agent; matrixforming agent; modified-release agent";Oraal, dentaal;;Yes;Manon den Uil ;26/03/2024
SINAASAPPELESSENCE;ORANGE ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;20/03/2024
SORBAAT KALIUM;SORBATE POTASSIUM;Salt, organic acid;Antimicrobial preservative;;;No;Manon den Uil ;26/03/2024
SORBINEZUUR;SORBIC ACID;Organic acid ;Antimicrobial preservative;;;No;Manon den Uil ;26/03/2024
SORBITANLAURAAT;SORBITAN LAURATE;Sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;No;Manon den Uil ;26/03/2024
SORBITANOLEAAT;SORBITAN OLEATE;Sorbitan fatty acid ester;"Dispersing agent; emulsifying agent; nonionic surfactant; solubilizing agent; suspending agent; wetting agent";;;No;Manon den Uil ;26/03/2024
STEARAAT NATRIUM;STEARATE SODIUM;Stearate ;Emulsifier ;;;Yes;Manon den Uil ;26/03/2024
STEARYLALCOHOL;STEARYL ALCOHOL;Fatty alcohol;Stiffening agent ;;;Yes;Manon den Uil ;26/03/2024
SUCRALOSE;SUCRALOSE;;;;;Yes;Laura N;30/11/2023
TARTRAZINE;TARTRAZINE;Azo Dye;Colouring agent ;;;Yes;Manon den Uil ;26/03/2024
TARWEZETMEEL;WHEAT STARCH;Starch;;;;No;Laura N;30/11/2023
TOCOFEROL, D-ALFA-;TOCOPHEROL, D-ALPHA-;Vitamin, lipid ;Antioxident ;Cutaan, oraal ;10-33%;Yes;Manon den Uil ;26/03/2024
TRINATRIUMFOSFAAT 12-WATER;TRISODIUM PHOSPHATE 12-WATER;Metallic salt ;Buffering agent ;;;Yes;Manon den Uil ;26/03/2024
TUTTIFRUTTI-ESSENCE;TUTTIFRUTTI ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;20/03/2024
VANILLE-ESSENCE;VANILLA ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;26/03/2024
VANILLINE;VANILLIN ;Benzylaldehyde ;Flavouring agent ;;;Yes;Manon den Uil ;26/03/2024
VASELINE, WIT;VASELINE, ALBUM;Unknown or Variable compositions;Emollient, ointment base;Oculair, rectaal, oromucosaal, oraal, nasaal, cutaan, vaginaal ;;Yes;Manon den Uil ;26/03/2024
WAS, GEEL;WAX, YELLOW;Variable, most abundant are fatty acid monoesters;"Controlled-release agent; polishing agent; stabilizing agent; stiffening agent";Cutaan, oraal;;Yes;Manon den Uil ;26/03/2024
WAS, WIT;WASH, WHITE;Variable, most abundant are fatty acid monoesters;"Controlled-release agent; stabilizing agent; stiffening agent";;;Yes;Manon den Uil ;26/03/2024
WATER;WATER;NA;;;;Yes;Manon den Uil ;20/03/2024
WATER, GEZUIVERD (GEDEMINERALISEERD);WATER, PURIFIED (DEMINERALIZED);NA;;;;Yes;Manon den Uil ;20/03/2024
WOLVET;LANOLIN;Unknown or Variable compositions;Emulsifying agent, ointment base;Cutaan, nasaal, oculair, rectaal;;Yes;Manon den Uil ;26/03/2024
XANTHAANGOM;Xanthan Gum;Polysaccharide;"Gelling agent; stabilizing agent; suspending agent; sustained-release agent; viscosity-increasing agent";Oculair, rectaal, oromucosaal, oraal, dentaal, cutaan, vaginaal ;;Yes;Manon den Uil ;26/03/2024
ZEINE;ZEIN;Prolamin;"Coating agent; extended-release agent; tablet binder";;;Yes;Manon den Uil ;26/03/2024
ZETMEEL, GEMODIFICEERD, SOORT ONBEKEND;STARCH, MODIFIED, TYPE UNKNOWN;Starch;;;;No;Laura N;30/11/2023
ZETMEEL, VOORVERSTIJFSELD;STARCH, PREGELATINIZED;Starch;;;;No;Laura N;30/11/2023
ZWARTE-BESSENESSENCE;BLACK CURRANT ESSENCE;Unknown or Variable compositions;Flavouring agent ;;;Yes;Manon den Uil ;20/03/2024
ACETYLTRIBUTYLCITRAAT;Acetyltributyl citrate ;Organic acid;;;;No;Laura N;25/07/2023
ADIPAAT DINATRIUM;ADIPATE DISODIUM;Organic acid;Buffering agent, leavening agent, flavorant;"Intramuscular; intravenous; topical; oral";;No;Liesbeth;04/08/2023
AGAR-AGAR;AGAR-AGAR;;;;;;;
AKKERMUNT BLADOLIE;PEPPERMINT LEAF OIL;Oil;Flavouring agent;;;Yes;Manon den Uil;05/04/2024
ALCLOXA;ALCLOXA;;;;;;;
ALGINAAT AMMONIUM;ALGINATE AMMONIUM;;;;;;;
ALGINAAT CALCIUM;ALGINATE CALCIUM;;;;;;;
ALGINAAT PROPYLEENGLYCOL;Propylene glycol alginate;;Emulsifier, stabilizer, and thickener;Oral;Unknown;No;Samir;11/08/2023
ALOE VERA POEDER;ALOE VERA POWDER;Mixed;;Oral;Unknown;No;Samir;11/08/2023
Alpelisib;Alpelisib ;;API;;;Yes;Samir;11/08/2023
ALUMINIUMCHLORIDE 6-WATER;ALUMINIUM CHLORIDE 6-hydrate;Salt, inorganic;;Oral ;0.1-1%;Yes;Gulcan;15/08/2023
ALUMINIUMDIHYDROXIDESTEARAAT;ALUMINUM DIHYDROXIDE ESTEARATE;Salt with fatty acid;Emollient;;;Yes;Gulcan;24/08/2023
ALUMINIUMDISTEARAAT;ALUMINUM DISTEARATE;Salt with fatty acid;Anti-caking agents, lubricants, flow enhancers, and tablet disintegrants;Oraal, sublinguaal;;Yes;Gulcan;24/08/2023
ALUMINIUMKALIUMSILICAAT;ALUMINUM POTASSIUM SILICATE;Salt, inorganic;Anticaking agent;oral;;Yes;Gulcan;24/08/2023
ALUMINIUMKALIUMSULFAAT 12-WATER;ALUMINUM POTASSIUM SULFATE 12-hydrate;Salt, inorganic;Astringent;;;Yes;Gulcan;24/08/2023
ALUMINIUMSILICAAT;ALUMINUM SILICATE;;;;;;;
AMANDELOLIE;ALMOND OIL;Oil;Solvent ;;;Yes;Manon den Uil;05/04/2024
AMARANT;AMARANTH;;Colouring agent;;;Yes;Manon den Uil;05/04/2024
AMINOBENZOEZUUR;AMINOBENZOIC ACID;;;;;;;
AMINOCAPRONZUUR;AMINO CAPROIC ACID;;;;;;;
AMMONIUMACRYLODIMETHYLTUARAATPOVIDONCOPOLYMEREN;AMMONIUM ACRYLODIMETHYL TUARATE POVIDONE COPOLYMER;;;;;;;
AMMONIUMCHLORIDE;AMMONIUM CHLORIDE;;;;;;;
AMYLOPECTINE;AMYLOPECTINE;;;;;;;
ANANASESSENCE;PINEAPPLE ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
ANETHOL;ANETHOLE;;;;;;;
ANIJSESSENCE;Anise essence;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
ANTHOCYAAN;anthocyanin ;;Colouring agent;;;Yes;Manon den Uil;05/04/2024
APPELBESESSENCE;CHOKEBERRY ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
ATTAPULGIET;ATTAPULGITE;;;;;;;
BEHENOYLPOLYOXYLGLYCERIDEN;Behenoyl polyoxyl-8 glycerides;;;;;;;
BENTONIET;Bentonite;;;;;;;
BETACAROTEEN;?-Carotene;;Colouring agent;;;Yes;Manon den Uil;05/04/2024
BETAINE HYDROCHLORIDE;BETAINE HYDROCHLORIDE;;;;;;;
BOSBESSENESSENCE;BLUEBERRY ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
BOSVRUCHTENESSENCE;FOREST FRUIT ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
BOTERBABBELAARESSENCE;BUTTER Babbelaars ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
BRILJANTGROEN;BRILLANT GREEN;Unknown or Variable compositions;Colouring agent;;;Yes;Manon den Uil ;29/03/2024
BRILJANTZWART;BRILLY BLACK;Unknown or Variable compositions;Colouring agent;;;Yes;Manon den Uil ;29/03/2024
BUTAAN;BUTANE;;;;;;;
CACAO BOTER;CACAO BUTTER;Fat;Suppository base;;;Yes;Manon den Uil;05/04/2024
CALCIUM (ZOUT ONBEKEND);CALCIUM (SALT UNKNOWN);Salt;;;;Yes;Manon den Uil;05/04/2024
CALCIUMCHLORIDE 6-WATER;CALCIUM CHLORIDE 6-hydrate;Metallic salt; ;;;Yes;Manon den Uil;05/04/2024
CALCIUMCITRAAT 4-WATER;CALCIUM CITRATE 4-hydrate;Salt, organic acid ;;;;No;Manon den Uil ;29/03/2024
CALCIUMLACTAAT 5-WATER;CALCIUM LACTATE 5-hydrate;Salt, organic acid;;;;No;Manon den Uil;05/04/2024
CALCIUMSULFAAT;CALCIUM SULFATE;Salt, inorganic;;;;Yes;Manon den Uil;05/04/2024
CALCIUMSULFAAT 0-WATER;CALCIUM SULFATE 0-WATER;Salt, inorganic;;;;Yes;Manon den Uil;05/04/2024
CAPRYLOCAPROYLMACROGOLGLYCERIDEN;CAPRYLOCAPROYL MACROGOLGLYCERIDES;;;;;;;
CARBOMEER  934P;CARBOMEER 934P;Polyacrylic acid;"Controlled-release agent; emulsifying agent; emulsion stabilizer; stabilizing agent; suspending agent; tablet binder";Oraal, oculair, rectaal;None;Yes;Manon den Uil;15/03/2024
CARBOMEER  941;CARBOMBER 941;Polyacrylic acid;"Controlled-release agent; emulsifying agent; emulsion stabilizer; stabilizing agent; suspending agent; tablet binder";Oraal;None;Yes;Manon den Uil;15/03/2024
CARBOXYETHYLCELLULOSE NATRIUM;CARBOXYETHYLCELLULOSE SODIUM;;;;;Yes;Laura N;30/11/2023
CARBOXYMETHYLETHYLCELLULOSE;CARBOXYMETHYLETHYLCELLULOSE;;;;;Yes;Laura N;30/11/2023
CARDAMOM TINCTUUR;CARDAMOM TINCTURE;;Flavouring agent;;;Yes;Manon den Uil;05/04/2024
CARMELLOSE;CARMELLOSE;Carboxymethylether;"Coating agent; stabilizing agent; suspending agent; tablet and capsule disintegrant; tablet binder; viscosity-increasing agent; water-absorbing agent";;;Yes;Manon den Uil;05/04/2024
CARRAGENAAT NATRIUM;CARRAGENATE SODIUM;;;;;;;
CARVON;CARVONE;;;;;;;
CASEINE;CASEINE;;;;;;;
CASEINE HYDROLYSAAT;CASEIN HYDROLYSATE;;;;;;;
CEDER OLIE;CEDER OIL;Oil;Geurstof;;;Yes;Manon den Uil;05/04/2024
CETOSTEARYLETHOXYLAAT;CETOSTEARYL ETHOXYLATE;;;;;;;
CETYLPALMITAAT;CETYL PALMITATE;;;;;;;
CETYLPYRIDINIUM CHLORIDE-0-WATER;CETYLPYRIDINIUM CHLORIDE-0-WATER;;;;;;;
CHLOORCARVACROL;CHLOROCARVACROL;;;;;;;
CHLOORHEXIDINE DIACETAAT;CHLORHEXIDINE DIACETATE;;;;;;;
CHLOORHEXIDINE DIGLUCONAAT;CHLORHEXIDINE DIGLUCONATE;;;;;;;
CHROOM (ZOUT ONBEKEND);CHROMIUM (SALT UNKNOWN);;;;;;;
CINNAMALDEHYDE;CINNAMALDEHYDE;;;;;;;
CITRUSESSENCE;CITRUS ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
COGNACESSENCE;COGNAC ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
COLA-ESSENCE;COLA-ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
CURACAO-ESSENCE;CURACAO ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
CYPRES OLIE;CYPRES OIL;Oil;Geurstof;;;Yes;Manon den Uil;05/04/2024
DEXTRATEN;DEXTRAN;Variable saccharides;Sweetener;;;No;Manon den Uil;05/04/2024
DEXTRINE;DEXTRAN;Suiker;;;;No;Laura N;30/11/2023
DIACETINE;DIACETINE;;;;;;;
DIACETYLMONOGLYCERIDEN;DIACETYL MONOGLYCERIDES;;;;;;;
DIETHANOLAMINE;DIETHANOLAMINE;;;;;;;
DIETHYLEENGLYCOLMONOETHYLETHER;DIETHYLENE GLYCOL MONOETHYL ETHER;;;;;;;
DIHYDROXYALUMINIUM-NATRIUMCARBONAAT;DIHYDROXYALUMINUM SODIUM CARBONATE;Salt, inorganic acid;;;;Yes;Manon den Uil/Laura N;27/12/2024
DIMETHYLAMINOETHYLMETHACRYLAATCOPOLYMEER;DIMETHYLAMINOETHYL METHACRYLATE COPOLYMER;;;;;;;
DIMETHYLFTALAAT;DIMETHYL PHTHALATE;;;;;;;
DINATRIUMWATERSTOFCITRAAT 1.5-WATER;DISODIUM HYDROGEN CITRATE 1.5-hydrate ;Salt, organic acid;;;;No;Manon den Uil;29/03/2024
DODECYLFOSFOCHOLINE;DODECYLPHOSPHOCHOLINE;;;;;;;
DOMIFEN BROMIDE;DOMIPHEN BROMIDE;;;;;;;
ELIXIR, AROMATISCH;ELIXIR, AROMATIC;Unknown or Variable compositions;Flavouring agent;;;Yes;Laura N;30/12/2024
EPILACTOSE;EPILACTOSE;;;;;;;
ESSENCE, SMAAK NIET BEKEND;ESSENCE, FLAVOR NOT KNOWN;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
ETHYLACETAAT;ETHYL ACETATE;;;;;;;
ETHYLACRYLAATMETHYLMETHACRYLAATCOPOLYMEER;ETHYL ACRYLATE METHYL METHACRYLATE COPOLYMER;;;;;;;
ETHYLEENGLYCOL;ETHYLENE GLYCOL;Polyol;Humectant, solvent;;;No;Manon den Uil ;05/04/2024
EUCALYPTOL;EUCALYPTOL;Lipid;Flavouring agent;;;Yes;Manon den Uil;05/04/2024
EUCALYPTUS OLIE;EUCALYPTUS OIL;Oil;Flavouring agent;;;Yes;Manon den Uil;05/04/2024
EUCALYPTUSESSENCE;EUCALYPTUS ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
EUCAMENTHOLESSENCE;eucalyptus and menthol essence;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
FENACETINE;PHENACETINE;;;;;;;
FERRIOXIDE;FERRIOXIDE;Inorganic;Colouring agent;;;Yes;Manon den Uil;05/04/2024
FERRIOXIDE, PAARS;FERRIC OXIDE, PURPLE;Inorganic;Colouring agent;;;Yes;Manon den Uil;05/04/2024
FORMALDEHYDECASEINE;FORMALDEHYDE CASEIN;;;;;;;
FOSFOR (ZOUT ONBEKEND);PHOSPHORUS (SALT UNKNOWN);;;;;;;
FRAMBOZEN SAP, GECONCENTREERD;RASPBERRY JUICE, CONCENTRATED;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
FRESCOFORTESSENCE;FRESCOFORT ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
FRUCTO-OLIGOSACCHARIDEN;Fructooligosaccharides;;;;;;;
FUMAARZUUR;Fumaric acid;Organic acid;;;;No;Manon den Uil ;29/03/2024
GALACTOSE;GALACTOSE;Suiker;;;;No;Laura N;30/11/2023
GEMBER OLIE;GINGEROIL;Oil;Fragrance agent;;;Yes;Manon den Uil;05/04/2024
GEMBERESSENCE;GINGER ESSENCE;Unknown or Variable compositions;Flavouring agent;;;Yes;Manon den Uil ;29/03/2024
GINKGO BILOBA PREPARAAT;GINKGO BILOBA PREPARATION;API;;;;Yes;Manon den Uil;05/04/2024
GINSENG PREPARAAT;GINSENG PREPARATION;API;;;;Yes;Manon den Uil;05/04/2024
GLYCEROLMONOCAPRYLOCAPRAAT;GLYCERYL MONOCAPRYLOCAPRATE;Fatty acid (ester with glycerin);Emulsifier;;;No;Manon den Uil;27/03/2024
